OBJECTID,Family,Species,Trophic_Guild,Weight,SOURCE,Weight,Source 2,MUSEUM NUMBER ,Provincia,Localidad,Lat,Long,LATITUDE,LONGITUDE,Elevation,Reference,,,,,,,,
1,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,BMNH 97.11.7.17,Esmeraldas,Cachavi,00 58' N,78 48' W,0.966667,-78.800000,200,Thomas 1897; Carter & Dolan 1978; McCarthy et al . 2000,,,,,,,,
2,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,BMNH 97.11.7.18,Esmeraldas,Cachavi,00 58' N,78 48' W,0.966667,-78.800000,200,Thomas 1897,,,,,,,,
3,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,BMNH 97.11.7.19,Esmeraldas,Cachavi,00 58' N,78 48' W,0.966667,-78.800000,200,Thomas 1897,,,,,,,,
4,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,BMNH 97.11.7.73,Esmeraldas,Cachavi,00 58' N,78 48' W,0.966667,-78.800000,200,Thomas 1897,,,,,,,,
5,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,BMNH 97.11.7.74,Esmeraldas,Cachavi,00 58' N,78 48' W,0.966667,-78.800000,200,Thomas 1897,,,,,,,,
6,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,QCAZ 10149,Esmeraldas,Lita W,01 13' N,78 45' W,1.216667,-78.750000,510,Tirira & Arévalo 2012,,,,,,,,
7,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,QCAZ 10150,Esmeraldas,Lita W,01 13' N,78 45' W,1.216667,-78.750000,510,Tirira & Arévalo 2012,,,,,,,,
8,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,QCAZ 10151,Esmeraldas,Lita W,01 13' N,78 45' W,1.216667,-78.750000,510,Tirira & Arévalo 2012,,,,,,,,
9,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,QCAZ 10152,Esmeraldas,Lita W,01 13' N,78 45' W,1.216667,-78.750000,510,Tirira & Arévalo 2012,,,,,,,,
10,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,QCAZ 10153,Esmeraldas,Lita W,01 13' N,78 45' W,1.216667,-78.750000,510,Tirira & Arévalo 2012,,,,,,,,
11,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,QCAZ 10154,Esmeraldas,Lita W,01 13' N,78 45' W,1.216667,-78.750000,510,Tirira & Arévalo 2012,,,,,,,,
12,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,MEPN 9374,Imbabura,"Lita, Túnel del ferrocarril.",00°52'  N,"78°28'00"" W",0.866667,-78.466667,520,Albuja 1999,,,,,,,,
13,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,MEPN 9375,Imbabura,"Lita, Túnel del ferrocarril.",00°52'  N,"78°28'00"" W",0.866667,-78.466667,520,Albuja 1999,,,,,,,,
14,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,MEPN 9376,Imbabura,"Lita, Túnel del ferrocarril.",00°52'  N,"78°28'00"" W",0.866667,-78.466667,520,Albuja 1999,,,,,,,,
15,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,MEPN 9377,Imbabura,"Lita, Túnel del ferrocarril.",00°52'  N,"78°28'00"" W",0.866667,-78.466667,520,Albuja 1999,,,,,,,,
16,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,MEPN 9378,Imbabura,"Lita, Túnel del ferrocarril.",00°52'  N,"78°28'00"" W",0.866667,-78.466667,520,Albuja 1999,,,,,,,,
17,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,MEPN 9380,Imbabura,"Lita, Túnel del ferrocarril.",00°52'  N,"78°28'00"" W",0.866667,-78.466667,520,Albuja 1999,,,,,,,,
