Species,LATITUDE,LONGITUDE
Amorphochilus schnablii,-2.833333333,-80.13333333
Amorphochilus schnablii,-2.166666667,-79.86666667
Amorphochilus schnablii,-4.116666667,-80.4
Amorphochilus schnablii,-1.583333333,-80.83888889
Amorphochilus schnablii,-2.033333333,-80.71666667
Amorphochilus schnablii,-2.033333333,-80.7
Amorphochilus schnablii,-1.833333333,-80.73333333
Anoura aequatoris,-3.063188889,-79.70544722
Anoura aequatoris,-2.565016667,-78.51150278
Anoura aequatoris,0.876111111,-78.21722222
Anoura aequatoris,-3.68975,-79.59547222
Anoura aequatoris,0.366666667,-78.63333333
Anoura aequatoris,-3.518333333,-78.42722222
Anoura aequatoris,-3.483333333,-78.23333333
Anoura aequatoris,-2.5525,-77.89666667
Anoura aequatoris,-2.252927778,-78.19895
Anoura aequatoris,-2.21645,-78.12645833
Anoura aequatoris,-2.116458333,-78.14350556
Anoura aequatoris,-2.065277778,-78.15638889
Anoura aequatoris,-0.933,-77.90399722
Anoura aequatoris,-0.866666667,-77.83333333
Anoura aequatoris,-0.718333333,-77.61166667
Anoura aequatoris,-0.691694444,-77.72847222
Anoura aequatoris,-0.646666667,-77.82361111
Anoura aequatoris,-0.633333333,-77.85
Anoura aequatoris,-0.616388889,-77.83166667
Anoura aequatoris,-0.25,-77.68333333
Anoura aequatoris,-0.1622,-77.65160833
Anoura aequatoris,-0.098333333,-77.57444444
Anoura aequatoris,-0.9125,-76.2175
Anoura aequatoris,-1.470833333,-77.43333333
Anoura aequatoris,-1.466666667,-78.11861111
Anoura aequatoris,-1.383333333,-78.08333333
Anoura aequatoris,-0.233333333,-78.76666667
Anoura aequatoris,-0.016666667,-78.88333333
Anoura aequatoris,0.081388889,-78.92611111
Anoura aequatoris,0.11,-78.62
Anoura aequatoris,0.125,-78.62666667
Anoura aequatoris,0.2,-77.33333333
Anoura aequatoris,-4.605972222,-78.819
Anoura aequatoris,-4.604,-78.80733056
Anoura aequatoris,-4.083333333,-78.95
Anoura aequatoris,-3.9825,-78.62972222
Anoura aequatoris,-3.9675,-79.07416667
Anoura aequatoris,-3.8945,-78.47851111
Anoura aequatoris,-3.838333333,-78.52833333
Anoura aequatoris,-3.802830556,-78.59671944
Anoura aequatoris,-3.782,-78.495
Anoura aequatoris,-3.756727778,-78.50202778
Anoura aequatoris,-3.746388889,-78.55238889
Anoura aequatoris,-3.635555556,-78.38944444
Anoura caudifer,-1.6,-78.63333333
Anoura caudifer,1.001944444,-78.23638889
Anoura caudifer,-0.419166667,-79.00166667
Anoura caudifer,0.533333333,-78.63333333
Anoura caudifer,0.9,-78.55
Anoura caudifer,-4.3,-79.43
Anoura caudifer,-3.57,-78.52
Anoura caudifer,-3.483333333,-78.23333333
Anoura caudifer,-3.329372222,-78.55544444
Anoura caudifer,-3.006138889,-78.50080556
Anoura caudifer,-2.5525,-77.89666667
Anoura caudifer,-2.220277778,-78.29125
Anoura caudifer,-2.065277778,-78.15638889
Anoura caudifer,-1.87,-78.14
Anoura caudifer,-0.98,-77.82
Anoura caudifer,-0.92,-77.8
Anoura caudifer,-0.883333333,-77.58333333
Anoura caudifer,-0.866111111,-77.53
Anoura caudifer,-0.718333333,-77.61166667
Anoura caudifer,-0.691694444,-77.72847222
Anoura caudifer,-0.646666667,-77.82361111
Anoura caudifer,-0.64,-77.95
Anoura caudifer,-0.571944444,-77.60111111
Anoura caudifer,-0.26,-77.95
Anoura caudifer,-0.216666667,-77.2
Anoura caudifer,-0.098333333,-77.57444444
Anoura caudifer,-0.983333,-77.783333
Anoura caudifer,-1.098611111,-75.64944444
Anoura caudifer,-1.033333333,-76.18333333
Anoura caudifer,-0.93,-75.4
Anoura caudifer,-0.65,-76.45
Anoura caudifer,-0.633333333,-76.45
Anoura caudifer,-0.624444444,-76.47217222
Anoura caudifer,-2.066666667,-76.96666667
Anoura caudifer,-1.551388889,-78.02277778
Anoura caudifer,-1.510263,-78.06683119
Anoura caudifer,-1.501944444,-77.48055556
Anoura caudifer,-1.479722222,-77.99611111
Anoura caudifer,-1.470833333,-77.43333333
Anoura caudifer,-1.470494444,-77.99384722
Anoura caudifer,-1.466666667,-78.11861111
Anoura caudifer,-1.23333,-77.66667
Anoura caudifer,-1.647,-76.981
Anoura caudifer,-1.405713,-77.99548873
Anoura caudifer,-1.400833333,-78.04166667
Anoura caudifer,-0.38,-78.44
Anoura caudifer,-0.326944444,-78.68916667
Anoura caudifer,-0.233333333,-78.76666667
Anoura caudifer,-0.23,-78.82
Anoura caudifer,0.003611111,-78.68333333
Anoura caudifer,0.02,-78.77
Anoura caudifer,0.029432,-78.63363087
Anoura caudifer,0.046069444,-78.78477222
Anoura caudifer,0.05,-78.83333333
Anoura caudifer,0.11,-78.62
Anoura caudifer,0.133333333,-78.66666667
Anoura caudifer,0.133333333,-78.75
Anoura caudifer,0.163055556,-78.87194444
Anoura caudifer,-0.4,-75.63333333
Anoura caudifer,0.05,-76.96666667
Anoura caudifer,-0.033318,-77.50000345
Anoura caudifer,-0.016666667,-76.31666667
Anoura caudifer,0.022777778,-77.32132778
Anoura caudifer,-1.445833333,-78.22055556
Anoura caudifer,-1.42,-78.17
Anoura caudifer,-1.400416667,-78.28991667
Anoura caudifer,-1.4,-78.22
Anoura caudifer,-1.385555556,-78.28027778
Anoura caudifer,-1.343055556,-78.21388889
Anoura caudifer,-4.41,-79.04
Anoura caudifer,-4.333086111,-78.6807
Anoura caudifer,-4.283333333,-78.63333333
Anoura caudifer,-4.090555556,-78.9575
Anoura caudifer,-4.033888889,-78.57
Anoura caudifer,-3.9825,-78.62972222
Anoura cultrata,-3.063188889,-79.70544722
Anoura cultrata,-3.051388889,-79.7175
Anoura cultrata,1.001944444,-78.23638889
Anoura cultrata,-0.42,-79
